Year,Fire Name,County,Date/Start,Date/contained,Size (acres),Grass,Brush,Timber,Structures lost,Structures damaged,Structures threatened,Deaths,Injuries (Responders),Injuries (civilians),Evacuations,# of Evacuated,# of Sheltering in place,Cause ,Resources assigned (personnel),Estimated Total Cost
2017,Mitchell,Douglas,5-Jul-17,10-Jul-17,700,0,1,1,0,0,15,0,0,0,No,,,U,88,"750,000"
2017,East Saddle ,Grant,12-Aug-17,19-Aug-17,"17,470",1,1,0,2,1,40,0,1,0,Yes,25,,U,166,"425,000"
2017,Crab Creek ,Lincoln,15-Sep-17,18-Sep-17,591,1,1,0,0,0,4,0,0,0,No,,,U,8,"100,000"
2017,Sawmill Creek ,King,4-Sep-17,6-Nov-17,"1,061",0,0,1,0,0,0,0,0,0,No,,,U,377,"4,500,000"
2018,Cougar Creek Fire,Chelan,28-Jul-18,8-Nov-18,"42,712",1,1,1,0,0,3000,0,5,0,Yes,,,L,1225,"42,165,000"
2018,Crystal,Douglas,1-Sep-18,3-Sep-18,"2,610",1,0,0,0,0,200,0,0,0,No,,,H,42,"511,894"
2018,Newell Grade,Klickitat,28-Jun-18,1-Jul-18,228,1,0,0,0,0,2,0,0,0,No,,,U,104,"250,000"
2018,Ragged Butte,Douglas,6-Aug-18,7-Aug-18,"1,050",1,1,0,0,0,12,0,0,0,No,,,U,23,"30,000"
2018,Angel Springs,Lincoln,2-Aug-18,14-Aug-18,"5,046",1,1,1,14,0,170,0,5,0,Yes,200,,U,566,"5,220,000"
2018,Washington Flats,Douglas,11-Jul-18,13-Jul-18,385,1,1,0,0,0,0,0,0,0,No,,,H,93,"100,000"
2018,Navarre,Chelan,31-Jul-18,3-Aug-18,150,1,0,0,0,0,0,0,0,0,No,,,U,14,"132,576"
2019,Powerline,Grant,14-Jul-19,17-Jul-19,"7,700",1,1,0,0,0,24,0,0,0,No,,,U,233,"827,000"
2019,Left Hand,Kittitas,23-Jul-19,9-Aug-19,"3,406",0,0,1,0,0,250,0,6,0,Yes,22,,L,652,"8,009,697"
2019,Juniper,Klickitat,20-Jul-19,22-Jul-19,350,1,1,1,0,1,39,0,1,0,Yes,7,7,H,174,"50,000"
2019,Alkali Canyon,Yakima,20-Jun-19,21-Jun-19,"4,000",1,1,0,0,0,0,0,0,0,No,,,U,60,"200,000"
2019,Elmer city,Okanogan,23-Jun-19,26-Jun-19,"1,979",1,0,1,2,2,45,0,0,0,Yes,80,,U,108,"550,000"
